iter	Passed	Remaining
0	2	5271
1	7	7188
2	9	6256
3	11	5631
4	13	5253
5	15	5160
6	17	4882
7	19	4921
8	21	4803
9	23	4695
10	26	4845
11	28	4784
12	32	4925
13	34	4909
14	36	4875
15	39	4852
16	87	10232
17	89	9852
18	91	9506
19	93	9208
20	94	8936
21	96	8682
22	98	8434
23	99	8211
24	101	8001
25	103	7858
26	106	7748
27	108	7650
28	110	7506
29	112	7370
30	114	7242
31	115	7114
32	117	7010
33	119	6897
34	121	6835
35	125	6825
36	127	6739
37	128	6645
38	130	6560
39	132	6491
40	134	6415
41	136	6341
42	138	6290
43	140	6232
44	142	6178
45	143	6115
46	145	6054
47	147	5999
48	149	5945
49	151	5893
50	153	5858
51	157	5889
52	159	5849
53	161	5808
54	162	5761
55	164	5721
56	166	5679
57	169	5662
58	171	5627
59	172	5585
60	174	5546
61	176	5521
62	178	5499
63	180	5471
64	183	5453
65	185	5441
66	187	5417
67	189	5392
68	191	5371
69	193	5343
70	195	5323
71	198	5306
72	201	5310
73	203	5288
74	205	5269
75	207	5244
76	208	5212
77	210	5181
78	211	5148
79	213	5135
80	216	5126
81	218	5103
82	219	5080
83	221	5053
84	223	5025
85	224	4998
86	226	4969
87	227	4948
88	229	4933
89	231	4915
90	234	4910
91	235	4887
92	237	4861
93	238	4837
94	240	4813
95	241	4790
96	243	4781
97	246	4778
98	248	4762
99	249	4749
100	251	4738
101	253	4723
102	255	4707
103	257	4685
104	258	4672
105	261	4668
106	263	4656
107	264	4636
108	267	4648
109	270	4649
110	272	4638
111	274	4630
112	276	4618
113	278	4599
114	279	4581
115	281	4565
116	282	4548
117	284	4531
118	285	4516
119	287	4500
120	289	4490
121	291	4483
122	293	4475
123	295	4466
124	297	4456
125	298	4445
126	300	4434
127	302	4421
128	304	4411
129	306	4405
130	308	4397
131	309	4385
132	311	4372
133	313	4361
134	314	4348
135	316	4336
136	318	4326
137	319	4314
138	321	4310
139	323	4299
140	325	4286
141	326	4270
142	327	4255
143	329	4240
144	330	4227
145	331	4214
146	333	4202
147	334	4190
148	336	4184
149	338	4171
150	339	4159
151	340	4145
152	342	4132
153	343	4120
154	345	4108
155	346	4096
156	348	4091
157	350	4083
158	352	4076
159	354	4072
160	355	4061
161	357	4051
162	358	4039
163	359	4027
164	361	4019
165	363	4011
166	364	4000
167	365	3990
168	367	3984
169	369	3979
170	371	3970
171	372	3960
172	374	3950
173	375	3941
174	376	3930
175	378	3921
176	379	3911
177	381	3901
178	382	3894
179	384	3891
180	386	3883
181	387	3874
182	389	3865
183	390	3857
184	392	3851
185	394	3842
186	395	3832
187	396	3823
188	398	3819
189	400	3815
190	402	3815
191	404	3809
192	405	3799
193	407	3790
194	408	3782
195	409	3773
196	411	3764
197	412	3756
198	414	3749
199	415	3741
200	417	3732
201	418	3724
202	419	3715
203	421	3709
204	422	3703
205	424	3694
206	425	3687
207	427	3678
208	428	3672
209	430	3669
210	432	3665
211	433	3658
212	435	3652
213	436	3645
214	438	3637
215	439	3631
216	441	3623
217	442	3615
218	443	3609
219	446	3608
220	447	3605
221	449	3598
222	450	3592
223	452	3586
224	453	3579
225	455	3571
226	456	3565
227	457	3558
228	459	3555
229	461	3553
230	463	3547
231	464	3541
232	466	3535
233	467	3529
234	469	3522
235	470	3516
236	471	3509
237	473	3505
238	475	3504
239	477	3501
240	478	3495
241	480	3489
242	481	3483
243	483	3478
244	484	3471
245	486	3466
246	488	3463
247	489	3459
248	491	3458
249	493	3454
250	494	3448
251	496	3443
252	497	3437
253	499	3432
254	500	3425
255	501	3419
256	504	3418
257	505	3413
258	507	3413
259	509	3407
260	510	3402
261	512	3397
262	513	3391
263	514	3386
264	516	3380
265	517	3375
266	519	3371
267	520	3365
268	522	3364
269	524	3359
270	525	3353
271	527	3348
272	528	3342
273	529	3337
274	531	3332
275	532	3328
276	534	3324
277	536	3320
278	538	3320
279	540	3319
280	541	3315
281	543	3312
282	545	3308
283	546	3304
284	548	3300
285	550	3297
286	551	3292
287	553	3289
288	555	3289
289	557	3286
290	558	3282
291	560	3278
292	562	3278
293	564	3277
294	566	3274
295	568	3272
296	570	3270
297	571	3266
298	573	3260
299	574	3255
300	575	3249
301	577	3244
302	578	3241
303	580	3239
304	582	3236
305	584	3236
306	586	3234
307	588	3232
308	589	3227
309	591	3223
310	592	3219
311	594	3215
312	595	3210
313	597	3205
314	598	3201
315	600	3200
316	602	3198
317	603	3193
318	605	3188
319	606	3184
320	608	3181
321	609	3177
322	610	3172
323	612	3167
324	613	3163
325	616	3164
326	618	3163
327	619	3160
328	621	3155
329	622	3150
330	623	3146
331	625	3142
332	626	3137
333	628	3132
334	629	3128
335	631	3128
336	633	3127
337	635	3123
338	636	3120
339	638	3117
340	640	3114
341	641	3110
342	642	3106
343	644	3102
344	646	3101
345	649	3103
346	650	3099
347	651	3094
348	653	3089
349	654	3086
350	655	3081
351	657	3077
352	658	3073
353	660	3070
354	662	3070
355	664	3070
356	666	3066
357	667	3062
358	668	3057
359	670	3053
360	671	3049
361	672	3044
362	674	3040
363	675	3036
364	677	3035
365	679	3035
366	681	3031
367	682	3027
368	684	3023
369	685	3019
370	686	3015
371	688	3011
372	689	3007
373	691	3006
374	693	3003
375	695	3002
376	697	3002
377	699	3000
378	700	2996
379	701	2992
380	703	2988
381	704	2984
382	705	2980
383	707	2975
384	708	2972
385	709	2968
386	711	2967
387	714	2967
388	715	2963
389	716	2959
390	718	2955
391	719	2951
392	720	2947
393	722	2943
394	723	2939
395	724	2935
396	726	2935
397	729	2935
398	730	2932
399	732	2928
400	733	2924
401	734	2920
402	735	2916
403	737	2912
404	738	2909
405	740	2908
406	743	2909
407	744	2906
408	746	2903
409	747	2899
410	749	2895
411	750	2891
412	751	2888
413	753	2885
414	754	2881
415	756	2881
416	759	2883
417	761	2881
418	762	2878
419	764	2875
420	765	2871
421	767	2868
422	768	2864
423	769	2861
424	771	2858
425	773	2859
426	776	2859
427	777	2855
428	778	2851
429	780	2848
430	781	2844
431	782	2841
432	784	2838
433	786	2837
434	788	2837
435	791	2837
436	792	2834
437	793	2831
438	795	2827
439	796	2824
440	797	2820
441	799	2817
442	800	2813
443	802	2810
444	804	2811
445	806	2810
446	808	2807
447	809	2804
448	810	2801
449	812	2798
450	813	2794
451	814	2790
452	816	2788
453	818	2785
454	820	2786
455	822	2785
456	824	2782
457	825	2779
458	827	2776
459	828	2774
460	829	2770
461	831	2767
462	832	2764
463	834	2763
464	837	2763
465	838	2759
466	839	2756
467	840	2752
468	842	2749
469	843	2746
470	844	2742
471	846	2739
472	847	2736
473	849	2735
474	851	2733
475	853	2732
476	854	2729
477	856	2726
478	857	2723
479	858	2719
480	860	2716
481	861	2712
482	862	2709
483	863	2706
484	866	2705
485	868	2705
486	870	2702
487	871	2700
488	872	2696
489	874	2693
490	875	2690
491	876	2687
492	878	2684
493	883	2694
494	885	2692
495	886	2689
496	888	2686
497	889	2683
498	890	2680
499	892	2676
500	893	2673
501	895	2671
502	897	2670
503	899	2669
504	900	2666
505	902	2663
506	903	2660
507	904	2657
508	906	2654
509	907	2652
510	910	2652
511	912	2650
512	914	2650
513	915	2647
514	917	2644
515	918	2641
516	919	2638
517	921	2635
518	922	2632
519	923	2629
520	925	2626
521	926	2624
522	929	2624
523	931	2622
524	932	2619
525	933	2616
526	934	2613
527	936	2610
528	937	2607
529	939	2605
530	940	2602
531	942	2601
532	944	2600
533	946	2598
534	947	2595
535	949	2593
536	950	2590
537	951	2586
538	953	2584
539	955	2582
540	957	2580
541	959	2580
542	961	2580
543	963	2579
544	964	2576
545	966	2573
546	967	2570
547	969	2567
548	970	2564
549	971	2562
550	974	2561
551	976	2560
552	977	2558
553	979	2556
554	980	2553
555	982	2550
556	983	2547
557	984	2545
558	987	2544
559	988	2541
560	991	2542
561	993	2541
562	994	2538
563	996	2536
564	997	2532
565	998	2530
566	1000	2528
567	1001	2525
568	1003	2522
569	1005	2522
570	1007	2522
571	1009	2520
572	1011	2517
573	1012	2514
574	1013	2512
575	1015	2509
576	1016	2506
577	1018	2504
578	1019	2502
579	1021	2501
580	1024	2501
581	1025	2498
582	1026	2495
583	1028	2493
584	1029	2490
585	1031	2489
586	1032	2486
587	1034	2484
588	1036	2483
589	1039	2483
590	1040	2481
591	1042	2478
592	1043	2476
593	1045	2473
594	1046	2471
595	1047	2468
596	1049	2467
597	1051	2465
598	1054	2465
599	1055	2463
600	1057	2461
601	1058	2458
602	1060	2455
603	1061	2453
604	1063	2451
605	1064	2448
606	1065	2446
607	1068	2446
608	1070	2445
609	1072	2442
610	1073	2440
611	1074	2437
612	1076	2435
613	1077	2433
614	1079	2430
615	1081	2428
616	1083	2428
617	1085	2427
618	1086	2424
619	1088	2422
620	1089	2420
621	1091	2417
622	1092	2414
623	1094	2412
624	1095	2410
625	1097	2408
626	1099	2407
627	1101	2407
628	1103	2404
629	1104	2401
630	1105	2399
631	1107	2397
632	1108	2394
633	1110	2392
634	1112	2390
635	1113	2389
636	1116	2388
637	1117	2386
638	1119	2383
639	1120	2381
640	1122	2378
641	1123	2376
642	1124	2373
643	1127	2373
644	1128	2370
645	1130	2370
646	1132	2368
647	1134	2366
648	1135	2363
649	1136	2361
650	1138	2358
651	1139	2355
652	1141	2354
653	1143	2352
654	1145	2351
655	1147	2351
656	1150	2351
657	1152	2350
