id,Rings
90615,10.0
90616,9.0
90617,11.0
90618,10.0
90619,8.0
90620,10.0
90621,13.0
90622,6.0
90623,8.0
90624,11.0
90625,12.0
90626,6.0
90627,13.0
90628,14.0
90629,8.0
90630,8.0
90631,12.0
90632,6.0
90633,11.0
90634,11.0
90635,6.0
90636,9.0
90637,9.0
90638,9.0
90639,9.0
90640,12.0
90641,9.0
90642,11.0
90643,6.0
90644,10.0
90645,10.0
90646,9.0
90647,13.0
90648,13.0
90649,16.0
90650,10.0
90651,9.0
90652,10.0
90653,11.0
90654,6.0
90655,9.0
90656,10.0
90657,9.0
90658,8.0
90659,10.0
90660,8.0
90661,8.0
90662,7.0
90663,11.0
90664,8.0
90665,14.0
90666,9.0
90667,5.0
90668,10.0
90669,9.0
90670,10.0
90671,11.0
90672,9.0
90673,13.0
90674,8.0
90675,5.0
90676,13.0
90677,12.0
90678,5.0
90679,10.0
90680,11.0
90681,10.0
90682,11.0
90683,10.0
90684,12.0
90685,12.0
90686,8.0
90687,10.0
90688,10.0
90689,9.0
90690,22.0
90691,9.0
90692,10.0
90693,13.0
90694,10.0
90695,9.0
90696,9.0
90697,8.0
90698,10.0
90699,5.0
90700,11.0
90701,11.0
90702,11.0
90703,12.0
90704,5.0
90705,11.0
90706,11.0
90707,6.0
90708,9.0
90709,9.0
90710,10.0
90711,10.0
90712,9.0
90713,18.0
90714,7.0
90715,9.0
90716,6.0
90717,9.0
90718,4.0
90719,6.0
90720,14.0
90721,9.0
90722,9.0
90723,9.0
90724,10.0
90725,8.0
90726,8.0
90727,9.0
90728,12.0
90729,12.0
90730,10.0
90731,6.0
90732,8.0
90733,11.0
90734,9.0
90735,8.0
90736,9.0
90737,6.0
90738,6.0
90739,14.0
90740,11.0
90741,6.0
90742,10.0
90743,12.0
90744,7.0
90745,9.0
90746,9.0
90747,4.0
90748,19.0
90749,10.0
90750,4.0
90751,7.0
90752,8.0
90753,8.0
90754,9.0
90755,9.0
90756,8.0
90757,12.0
90758,9.0
90759,8.0
90760,9.0
90761,10.0
90762,9.0
90763,8.0
90764,15.0
90765,11.0
90766,7.0
90767,16.0
90768,13.0
90769,7.0
90770,10.0
90771,10.0
90772,6.0
90773,8.0
90774,8.0
90775,10.0
90776,8.0
90777,13.0
90778,10.0
90779,10.0
90780,12.0
90781,11.0
90782,8.0
90783,12.0
90784,7.0
90785,8.0
90786,6.0
90787,9.0
90788,3.0
90789,12.0
90790,9.0
90791,7.0
90792,7.0
90793,7.0
90794,6.0
90795,13.0
90796,11.0
90797,11.0
90798,13.0
90799,8.0
90800,12.0
90801,10.0
90802,8.0
90803,11.0
90804,21.0
90805,10.0
90806,11.0
90807,9.0
90808,10.0
90809,15.0
90810,9.0
90811,10.0
90812,6.0
90813,10.0
90814,7.0
90815,8.0
90816,6.0
90817,10.0
90818,9.0
90819,8.0
90820,7.0
90821,9.0
90822,8.0
90823,6.0
90824,12.0
90825,8.0
90826,6.0
90827,4.0
90828,11.0
90829,14.0
90830,10.0
90831,9.0
90832,9.0
90833,15.0
90834,10.0
90835,9.0
90836,9.0
90837,5.0
90838,11.0
90839,8.0
90840,9.0
90841,11.0
90842,12.0
90843,13.0
90844,13.0
90845,11.0
90846,11.0
90847,7.0
90848,9.0
90849,10.0
90850,8.0
90851,14.0
90852,6.0
90853,12.0
90854,10.0
90855,8.0
90856,9.0
90857,10.0
90858,10.0
90859,12.0
90860,13.0
90861,11.0
90862,10.0
90863,9.0
90864,12.0
90865,13.0
90866,13.0
90867,11.0
90868,12.0
90869,9.0
90870,12.0
90871,13.0
90872,16.0
90873,9.0
90874,16.0
90875,8.0
90876,12.0
90877,9.0
90878,8.0
90879,10.0
90880,9.0
90881,11.0
90882,13.0
90883,12.0
90884,14.0
90885,10.0
90886,13.0
90887,6.0
90888,10.0
90889,13.0
90890,13.0
90891,11.0
90892,9.0
90893,4.0
90894,11.0
90895,11.0
90896,7.0
90897,6.0
90898,5.0
90899,15.0
90900,10.0
90901,10.0
90902,10.0
90903,7.0
90904,7.0
90905,8.0
90906,8.0
90907,10.0
90908,4.0
90909,17.0
90910,10.0
90911,8.0
90912,15.0
90913,10.0
90914,9.0
90915,8.0
90916,10.0
90917,11.0
90918,8.0
90919,9.0
90920,11.0
90921,7.0
90922,8.0
90923,10.0
90924,12.0
90925,11.0
90926,11.0
90927,10.0
90928,14.0
90929,12.0
90930,10.0
90931,13.0
90932,15.0
90933,12.0
90934,17.0
90935,9.0
90936,10.0
90937,13.0
90938,9.0
90939,9.0
90940,9.0
90941,8.0
90942,5.0
90943,15.0
90944,8.0
90945,10.0
90946,9.0
90947,11.0
90948,10.0
90949,13.0
90950,12.0
90951,10.0
90952,8.0
90953,8.0
90954,12.0
90955,8.0
90956,9.0
90957,11.0
90958,4.0
90959,7.0
90960,11.0
90961,7.0
90962,10.0
90963,6.0
90964,11.0
90965,7.0
90966,12.0
90967,10.0
90968,13.0
90969,10.0
90970,9.0
90971,8.0
90972,10.0
90973,12.0
90974,9.0
90975,11.0
90976,8.0
90977,10.0
90978,8.0
90979,11.0
90980,9.0
90981,12.0
90982,13.0
90983,4.0
90984,10.0
90985,6.0
90986,13.0
90987,8.0
90988,9.0
90989,10.0
90990,9.0
90991,8.0
90992,5.0
90993,9.0
90994,11.0
90995,8.0
90996,14.0
90997,9.0
90998,7.0
90999,6.0
91000,14.0
91001,7.0
91002,9.0
91003,10.0
91004,10.0
91005,8.0
91006,13.0
91007,8.0
91008,8.0
91009,12.0
91010,11.0
91011,10.0
91012,10.0
91013,10.0
91014,10.0
91015,9.0
91016,8.0
91017,14.0
91018,7.0
91019,10.0
91020,8.0
91021,11.0
91022,9.0
91023,6.0
91024,8.0
91025,11.0
91026,9.0
91027,7.0
91028,11.0
91029,11.0
91030,9.0
91031,9.0
91032,7.0
91033,5.0
91034,12.0
91035,9.0
91036,11.0
91037,7.0
91038,12.0
91039,11.0
91040,10.0
91041,8.0
91042,10.0
91043,12.0
91044,8.0
91045,8.0
91046,8.0
91047,8.0
91048,10.0
91049,10.0
91050,12.0
91051,9.0
91052,12.0
91053,10.0
91054,8.0
91055,8.0
91056,11.0
91057,12.0
91058,13.0
91059,14.0
91060,10.0
91061,9.0
91062,18.0
91063,9.0
91064,10.0
91065,9.0
91066,11.0
91067,10.0
91068,11.0
91069,9.0
91070,9.0
91071,8.0
91072,6.0
91073,7.0
91074,12.0
91075,7.0
91076,13.0
91077,8.0
91078,7.0
91079,7.0
91080,9.0
91081,8.0
91082,10.0
91083,10.0
91084,8.0
91085,12.0
91086,12.0
91087,13.0
91088,10.0
91089,10.0
91090,14.0
91091,11.0
91092,10.0
91093,7.0
91094,6.0
91095,11.0
91096,11.0
91097,17.0
91098,7.0
91099,7.0
91100,10.0
91101,13.0
91102,8.0
91103,9.0
91104,10.0
91105,14.0
91106,13.0
91107,8.0
91108,10.0
91109,11.0
91110,14.0
91111,10.0
91112,9.0
91113,10.0
91114,6.0
91115,10.0
91116,7.0
91117,10.0
91118,7.0
91119,9.0
91120,10.0
91121,10.0
91122,7.0
91123,11.0
91124,13.0
91125,9.0
91126,10.0
91127,7.0
91128,7.0
91129,10.0
91130,10.0
91131,8.0
91132,12.0
91133,12.0
91134,9.0
91135,8.0
91136,10.0
91137,11.0
91138,9.0
91139,9.0
91140,9.0
91141,9.0
91142,11.0
91143,7.0
91144,11.0
91145,13.0
91146,6.0
91147,10.0
91148,13.0
91149,8.0
91150,13.0
91151,11.0
91152,9.0
91153,10.0
91154,8.0
91155,10.0
91156,8.0
91157,12.0
91158,12.0
91159,9.0
91160,9.0
91161,10.0
91162,11.0
91163,6.0
91164,9.0
91165,13.0
91166,10.0
91167,8.0
91168,18.0
91169,10.0
91170,8.0
91171,9.0
91172,10.0
91173,13.0
91174,7.0
91175,11.0
91176,12.0
91177,11.0
91178,5.0
91179,15.0
91180,13.0
91181,10.0
91182,11.0
91183,8.0
91184,6.0
91185,13.0
91186,10.0
91187,9.0
91188,9.0
91189,12.0
91190,6.0
91191,9.0
91192,11.0
91193,10.0
91194,7.0
91195,9.0
91196,8.0
91197,9.0
91198,8.0
91199,8.0
91200,10.0
91201,10.0
91202,13.0
91203,8.0
91204,7.0
91205,14.0
91206,12.0
91207,12.0
91208,11.0
91209,10.0
91210,7.0
91211,11.0
91212,10.0
91213,7.0
91214,13.0
91215,9.0
91216,5.0
91217,9.0
91218,10.0
91219,10.0
91220,10.0
91221,8.0
91222,13.0
91223,11.0
91224,9.0
91225,10.0
91226,12.0
91227,8.0
91228,9.0
91229,9.0
91230,11.0
91231,13.0
91232,8.0
91233,15.0
91234,7.0
91235,10.0
91236,10.0
91237,7.0
91238,9.0
91239,8.0
91240,10.0
91241,12.0
91242,10.0
91243,11.0
91244,15.0
91245,10.0
91246,7.0
91247,10.0
91248,11.0
91249,12.0
91250,8.0
91251,13.0
91252,14.0
91253,7.0
91254,7.0
91255,14.0
91256,10.0
91257,8.0
91258,8.0
91259,15.0
91260,11.0
91261,10.0
91262,9.0
91263,6.0
91264,9.0
91265,8.0
91266,11.0
91267,7.0
91268,8.0
91269,11.0
91270,18.0
91271,7.0
91272,9.0
91273,14.0
91274,10.0
91275,11.0
91276,14.0
91277,12.0
91278,10.0
91279,8.0
91280,9.0
91281,9.0
91282,10.0
91283,12.0
91284,10.0
91285,10.0
91286,9.0
91287,9.0
91288,10.0
91289,10.0
91290,8.0
91291,7.0
91292,16.0
91293,11.0
91294,9.0
91295,13.0
91296,9.0
91297,14.0
91298,16.0
91299,7.0
91300,8.0
91301,10.0
91302,11.0
91303,11.0
91304,12.0
91305,11.0
91306,6.0
91307,9.0
91308,11.0
91309,12.0
91310,13.0
91311,9.0
91312,11.0
91313,11.0
91314,7.0
91315,9.0
91316,8.0
91317,9.0
91318,8.0
91319,8.0
91320,11.0
91321,7.0
91322,4.0
91323,9.0
91324,8.0
91325,8.0
91326,11.0
91327,14.0
91328,12.0
91329,10.0
91330,10.0
91331,9.0
91332,14.0
91333,9.0
91334,10.0
91335,4.0
91336,13.0
91337,11.0
91338,9.0
91339,10.0
91340,8.0
91341,6.0
91342,9.0
91343,7.0
91344,7.0
91345,8.0
91346,7.0
91347,11.0
91348,10.0
91349,10.0
91350,4.0
91351,13.0
91352,10.0
91353,10.0
91354,9.0
91355,7.0
91356,12.0
91357,11.0
91358,18.0
91359,13.0
91360,6.0
91361,10.0
91362,9.0
91363,11.0
91364,8.0
91365,8.0
91366,11.0
91367,12.0
91368,8.0
91369,9.0
91370,12.0
91371,9.0
91372,7.0
91373,12.0
91374,7.0
91375,9.0
91376,9.0
91377,10.0
91378,11.0
91379,7.0
91380,9.0
91381,11.0
91382,4.0
91383,6.0
91384,9.0
91385,10.0
91386,10.0
91387,11.0
91388,12.0
91389,6.0
91390,8.0
91391,9.0
91392,13.0
91393,11.0
91394,10.0
91395,11.0
91396,10.0
91397,11.0
91398,13.0
